S.No,Station Name,Code,Category,Division,Zone,District,State,Awarded Date
79,"SEWAGRAM",SEGM,NSG-4,"Nagpur",WR,"Wardha","Maharashtra",2025-02-20
80,"WARDHA",WR,NSG-3,"Nagpur",WR,"Wardha","Maharashtra",2025-02-20
81,"BALLARSHAH",BPQ,NSG-3,"Nagpur",CR,"Chandrapur","Maharashtra",2025-02-20
82,"CHANDRAPUR",CD,NSG-4,"Nagpur",CR,"Chandrapur","Maharashtra",2025-02-20
83,"KHURAI",KYE,NSG-5,"Jabalpur",WCR,"Sagar","Madhya Pradesh",2025-02-20
84,"MAKRONIA",MKRN,NSG-5,"Jabalpur",WCR,"Sagar","Madhya Pradesh",2025-04-23
85,"PRAYAGRAJ RAMBAGH",PRRB,NSG-4,"Prayagraj",NCR,"Prayagraj","Uttar Pradesh",2025-02-20
86,"HARDOI",HRI,NSG-3,"FEROZPUR",NR,"Hardoi","Uttar Pradesh",2025-02-20
87,"GONDIA",GY,NSG-3,"Nagpur",SECR,"Gondiya","Maharashtra",2025-03-12
88,"WANKANER",WKR,NSG-5,"RAJKOT",WR,"Rajkot","Gujarat",2025-03-12
89,"BOTAD",BTD,NSG-4,"BHAVNAGAR",WR,"Botad","Gujarat",2025-03-12
90,"AMALNER",AN,NSG-5,"MUMBAI CENTRAL",WR,"Jalgaon","Maharashtra",2025-03-12
91,"DONDAICHA",DDE,NSG-4,"MUMBAI CENTRAL",WR,"Dhule","Maharashtra",2025-03-12
93,"ORAI",ORAI,NSG-4,"Jhansi",NCR,"Jalaun","Uttar Pradesh",2025-04-24
94,"VADNAGAR",VDG,NSG-6,"AHMEDABAD",WR,"Mahesana","Gujarat",2025-04-23
95,"PAYYANUR",PAY,NSG-3,"PALAKKAD",SR,"Kannur","Kerala",2025-04-23
96,"PAYANGADI",PAZ,NSG-5,"PALAKKAD",SR,"Kannur","Kerala",2025-04-23
97,"HOSHIARPUR",HSX,NSG-5,"Firozpur",NR,"Hoshiarpur","Punjab",2025-04-23
98,"MALDA TOWN",MLDT,NSG-3,"Malda",ER,"Maldah","West Bengal",2025-04-23
99,"KHALTIPUR",KTJ,NSG-5,"Malda",ER,"Maldah","West Bengal",2025-04-23
100,"JALANDHAR CITY",JUC,NSG-2,"Firozpur",NR,"Jalandhar","Punjab",2025-04-23
101,"ANANDPUR SAHIB",ANSB,NSG-5,"AMBALA",NR,"Rupnagar","Punjab",2025-04-23
102,"NAGDA",NAD,NSG-4,"Ratlam",WR,"Ujjain","Madhya Pradesh",2025-04-23
103,"UJJAIN",UJN,NSG-2,"Ratlam",WR,"Ujjain","Madhya Pradesh",2025-04-23
104,"JAORA",JAO,NSG-5,"Ratlam",WR,"Ratlam","Madhya Pradesh",2025-04-23
105,"CHANDIGARH",CDG,NSG-2,"Ambala",NR,"Chandigarh","Chandigarh",2025-04-23
106,"RAJPURA",RPJ,NSG-4,"AMBALA",NR,"Patiala","Punjab",2025-04-23
107,"DHURI",DUI,NSG-5,"AMBALA",NR,"Sangrur","Punjab",2025-04-23
109,"ARIYALUR",ALU,NSG-5,"TIRUCHIRAPALLI",SR,"Ariyalur","Tamil Nadu",2025-05-06
110,"MAHIM",MM,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
111,"SHEGAON",SEG,NSG-3,"Bhusawal",CR,"Buldana","Maharashtra",2025-05-06
112,"NASHIK ROAD",NK,NSG-2,"Bhusawal",CR,"Nashik","Maharashtra",2025-05-06
113,"ANDHERI",ADH,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
114,"MAHALAXMI",MX,SG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
115,"BORIVALI",BVI,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
116,"MATUNGA ROAD",MRU,SG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
117,"GRANT ROAD",GTR,SG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
118,"CHURCHGATE",CCG,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
119,"BHAYANDER",BYR,SG-1,"MUMBAI CENTRAL",WR,"Mira Bhayander Municipal Corporation (Thane Zone-7)","Maharashtra",2025-05-06
120,"JOGESHWARI",JOS,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
121,"PRABHADEVI",PBHD,SG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
122,"GOREGAON",GMN,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
123,"DAHISAR",DIC,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
124,"DADAR",DDR,NSG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
125,"BANDRA TERMINUS",BDTS,NSG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
126,"NALLASOPARA",NSP,SG-1,"MUMBAI CENTRAL",WR,"Palghar","Maharashtra",2025-05-06
127,"BANDRA LOCAL",BA,NSG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
128,"KANDIVALI",KILE,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
129,"MALAD",MDD,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
130,"VASAI ROAD",BSR,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
131,"VIRAR",VR,SG-1,"MUMBAI CENTRAL",WR,"Palghar","Maharashtra",2025-05-06
132,"MARINE LINE",MEL,SG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
133,"CHARNI ROAD",CYR,SG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
134,"SANTACRUZ",STC,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
135,"NAIGAON",NIG,SG-2,"MUMBAI CENTRAL",WR,"Palghar","Maharashtra",2025-05-06
136,"MUMBAI CENTRAL",MMCT,NSG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-04-23
137,"VILE PARLEY",VLP,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
138,"KHAR ROAD",KHAR,SG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
139,"LOWER PAREL",PL,SG-2,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-05-06
140,"ROORKEE",RK,NSG-3,"Moradabad",NR,"Hardwar","Uttarakhand",2025-04-23
141,"YOG NAGRI RISHIKESH",YNRK,NSG-5,"Moradabad",NR,"Dehradun","Uttarakhand",2025-05-06
142,"HARIDWAR",HW,NSG-2,"Moradabad",NR,"Hardwar","Uttarakhand",2025-05-06
143,"NEW DELHI",NDLS,NSG-1,"Delhi",NR,"New Delhi","Delhi",2025-04-24
144,"OLD DELHI",DLI,NSG-1,"Delhi",NR,"New Delhi","Delhi",2025-04-24
145,"HAZRAT NIZAMUDDIN",NZM,NSG-1,"Delhi",NR,"New Delhi","Delhi",2025-04-24
