Extracted 294 records
158 | PALAKKAD TOWN | PGTN | NSG-5 | SR | Palakkad | Kerala
159 | LALITPUR | LAR | NSG-4 | NCR | Lalitpur | Uttar Pradesh
160 | PATHANKOT CANTT STATION | PTKC | NSG-3 | NR | Pathankot | Punjab
161 | OTTAPALAM | OTP | NSG-3 | SR | Palakkad | Kerala
162 | SAWAI MADHOPUR RAILWAY | SWM | NSG-3 | WCR | Sawai Madhopur | Rajasthan
163 | AJMER | AII | NSG-2 | NWR | Ajmer | Rajasthan
164 | JAIPUR | JP | NSG-2 | NWR | Jaipur | Rajasthan
165 | DEORIA | DEOS | NSG-3 | NER | Gorakhpur | Uttar Pradesh
166 | GORAKHPUR | GKP | NSG-1 | NER | Gorakhpur | Uttar Pradesh
167 | PRAYAGRAJ | PRYJ | NSG-2 | NCR | Prayagraj | Uttar Pradesh
168 | TRIPUNITHURA | TRTR | NSG-5 | SR | Ernakulam | Kerala
169 | BATHINDA | BTI | NSG-3 | NR | Bathinda | Punjab
170 | PALANI | PLNI | NSG-4 | SR | Dindigul | Tamil Nadu
171 | THOOTHUKUDI | TN | NSG-3 | SR | Thoothukkudi | Tamil Nadu
172 | SENGOTTAI | SCT | NSG-5 | SR | Tirunelveli | Tamil Nadu
173 | TENKASI | TSI | NSG-3 | SR | Tirunelveli | Tamil Nadu
174 | KURDUWADI | KWV | NSG-4 | CR | Solapur | Maharashtra
175 | GANGAPUR ROAD | GUR | NSG-3 | CR | Solapur | Maharashtra
176 | AKKALKOT | AKOR | NSG-5 | CR | Solapur | Maharashtra
177 | PANDHARPUR | PVR | NSG-4 | CR | Solapur | Maharashtra
178 | LATUR | LUR | NSG-4 | CR | Solapur | Maharashtra
179 | DHARASHIV | DRSV | NSG-5 | CR | Dharashiv | Maharashtra
180 | WADI | WADI | NSG-4 | CR | Kalaburagi | Karnataka
181 | SOLAPUR | SUR | NSG-2 | CR | Solapur | Maharashtra
182 | NAGERCOIL | NCJ | NSG-3 | SR | Kanyakumari | Tamil Nadu
183 | TIRUVALLA | TRVL | NSG-3 | SR | Pathanamthitta | Kerala
184 | BHAKTI NAGAR | BKNG | NSG-5 | WR | Rajkot | Gujarat
185 | HAPA | HAPA | NSG-5 | WR | Jamnagar | Gujarat
186 | NEW ALIPURDUAR | NOQ | NSG-3 | NFR | Alipurduar | West Bengal
187 | KOKRAJHAR | KOJ | NSG-4 | NFR | Kokrajhar | Assam
188 | FALAKATA | FLK | NSG-5 | NFR | Alipurduar | West Bengal
189 | GOLAKGANJ | GKJ | NSG-6 | NFR | Dhubri | Assam
190 | NEW COOCHBEHAR | NCB | NSG-3 | NFR | Coochbehar | West Bengal
191 | BINNAGURI | BNV | NSG-5 | NFR | Alipurduar | West Bengal
192 | DINHATA | DHH | NSG-5 | NFR | Coochbehar | West Bengal
193 | DHUPGURI | DQG | NSG-4 | NFR | Jalpaiguri | West Bengal
